path	location	statement
README.md	line:10	- **BACnet/IP implementation** — async client and server paths with 30+ service modules under conformance review
README.md	line:107	- **[`rusty-bacnet-btl-harness`](https://github.com/jscott3201/rusty-bacnet-btl-harness)** — external BTL Test Plan 26.1 harness project. Formal support status is tracked separately in the conformance ledger.
README.md	line:11	- **Transport implementations** — BACnet/IP (UDP), BACnet/IPv6 (multicast), BACnet/SC (WebSocket+TLS with hub), MS/TP (serial), Ethernet (BPF); see the conformance ledger for current evidence status
README.md	line:16	- **Conformance evidence** — draft Standard 135-2020 ledger and support summaries in [`docs/conformance/`](docs/conformance/standard-135-2020-ledger.md)
README.md	line:161	> [#517 acceptance closeout](docs/conformance/standard-135-2020-ledger.md#device-identity-acceptance-closeout)
README.md	line:164	> ReadProperty and same-identity replacement paths, not full Annex AB conformance
README.md	line:176	See the [receive boundary and evidence](docs/conformance/standard-135-2020-ledger.md#received-peer-uuid-admission).
README.md	line:184	this is not a universal minimum-capacity conformance claim. Defaults and outgoing
README.md	line:185	budgets are unchanged. See the [bounded evidence and exclusions](docs/conformance/standard-135-2020-ledger.md#received-zero-capacity-admission).
README.md	line:262	VMAC/Device UUID; credential hardening is not full Annex AB profile conformance.
README.md	line:342	## Supported Services
README.md	line:379	The table below lists implemented transport code paths. Clause-level support evidence is tracked in the draft [conformance ledger](docs/conformance/standard-135-2020-ledger.md).
README.md	line:390	Annex J NAT traversal and IPv4 BACnet/IP multicast (B/IP-M) are not claimed by the current BACnet/IP transport; their support direction is tracked in the conformance ledger.
README.md	line:431	- [Conformance Ledger](docs/conformance/standard-135-2020-ledger.md) — draft Standard 135-2020 evidence map
docs/conformance/bacnet-135-2020.json	row:BACNET-12-ALERT-ENROLLMENT-TABLE-12-61	CHANGELOG.md Unreleased Alert Enrollment migration note
docs/conformance/bacnet-135-2020.json	row:BACNET-12-ALERT-ENROLLMENT-TABLE-12-61	crates/rusty-bacnet/rusty_bacnet.pyi add_alert_enrollment
docs/conformance/bacnet-135-2020.json	row:BACNET-12-ALERT-ENROLLMENT-TABLE-12-61	docs/python-api.md add_alert_enrollment constructor migration
docs/conformance/bacnet-135-2020.json	row:BACNET-12-ALERT-ENROLLMENT-TABLE-12-61	docs/rust-api.md AlertEnrollmentObject constructor migration
docs/conformance/bacnet-135-2020.json	row:BACNET-12-EVENT-PARAMETERS-FRAMING	README BACnet object implementations feature
docs/conformance/bacnet-135-2020.json	row:BACNET-12-OBJECT-MODEL	README Python server object methods
docs/conformance/bacnet-135-2020.json	row:BACNET-12-OBJECT-MODEL	README object model feature
docs/conformance/bacnet-135-2020.json	row:BACNET-12-OBJECT-MODEL	docs/rust-api.md object model
docs/conformance/bacnet-135-2020.json	row:BACNET-12-PROPERTY-METADATA-CORE	CHANGELOG Unreleased property-metadata core
docs/conformance/bacnet-135-2020.json	row:BACNET-12-RECIPIENT-LIST-FRAMING	README BACnet object implementations feature
docs/conformance/bacnet-135-2020.json	row:BACNET-13-LIFE-SAFETY-OPERATION	README supported services (qualified authorized Life Safety operations and modeled exact COV)
docs/conformance/bacnet-135-2020.json	row:BACNET-20-ENCODING	README services
docs/conformance/bacnet-135-2020.json	row:BACNET-20-ENCODING	docs/python-api.md property value APIs
docs/conformance/bacnet-135-2020.json	row:BACNET-21-FORMAL-APDUS	README supported services
docs/conformance/bacnet-135-2020.json	row:BACNET-21-FORMAL-APDUS	docs/python-api.md service APIs
docs/conformance/bacnet-135-2020.json	row:BACNET-21-TIMESTAMP-CHOICE	README supported services table (AcknowledgeAlarm, GetEventInformation)
docs/conformance/bacnet-135-2020.json	row:BACNET-4-ARCHITECTURE	README workspace structure
docs/conformance/bacnet-135-2020.json	row:BACNET-4-ARCHITECTURE	docs/architecture.md crate graph
docs/conformance/bacnet-135-2020.json	row:BACNET-5-ROUTED-PATH-LIMIT	docs/rust-api.md routed confirmed-request limits
docs/conformance/bacnet-135-2020.json	row:BACNET-5-SEGMENTATION-WINDOW	docs/python-api.md segmentation support
docs/conformance/bacnet-135-2020.json	row:BACNET-5-TSM-CLIENT	README supported services
docs/conformance/bacnet-135-2020.json	row:BACNET-5-TSM-CLIENT	docs/python-api.md transport examples
docs/conformance/bacnet-135-2020.json	row:BACNET-5-TSM-SERVER	README supported services
docs/conformance/bacnet-135-2020.json	row:BACNET-6-NPDU-CONTROL	docs/architecture.md packet flow
docs/conformance/bacnet-135-2020.json	row:BACNET-6-ROUTER-MESSAGES	docs/architecture.md router model
docs/conformance/bacnet-135-2020.json	row:BACNET-7-ETHERNET-LLC	README transports table: Ethernet
docs/conformance/bacnet-135-2020.json	row:BACNET-7-ETHERNET-LLC	docs/rust-api.md ethernet feature
docs/conformance/bacnet-135-2020.json	row:BACNET-9-MSTP-FRAMES	README transports table: MS/TP
docs/conformance/bacnet-135-2020.json	row:BACNET-9-MSTP-FRAMES	docs/rust-api.md MS/TP
docs/conformance/bacnet-135-2020.json	row:BACNET-A-PICS	README BTL harness link
docs/conformance/bacnet-135-2020.json	row:BACNET-A-PICS	docs/architecture.md BTL harness link
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-BVLC-RESULT	README BACnet/SC transport
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-CONNECTION-STATE	README BACnet/SC transport
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-FRAME	README BACnet/SC transport
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-HEARTBEAT	docs/python-api.md sc_heartbeat_interval_ms
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-HEARTBEAT	docs/rust-api.md with_heartbeat_interval_ms
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-HUB-CONNECTOR	README BACnet/SC Hub
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-HUB-CONNECTOR	docs/python-api.md ScHub
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-WEBSOCKET-TLS	README BACnet/SC WebSocket+TLS
docs/conformance/bacnet-135-2020.json	row:BACNET-AB-SC-WEBSOCKET-TLS	docs/python-api.md BACnet/SC
docs/conformance/bacnet-135-2020.json	row:BACNET-J-BBMD-BDT	README CLI BBMD commands
docs/conformance/bacnet-135-2020.json	row:BACNET-J-BBMD-BDT	docs/CLI.md BBMD commands
docs/conformance/bacnet-135-2020.json	row:BACNET-J-BBMD-BDT	docs/rust-api.md BBMD example
docs/conformance/bacnet-135-2020.json	row:BACNET-J-BVLC-FUNCTION-CODES	README BACnet/IP feature
docs/conformance/bacnet-135-2020.json	row:BACNET-J-BVLC-FUNCTION-CODES	README transports table: BACnet/IP
docs/conformance/bacnet-135-2020.json	row:BACNET-J-FOREIGN-DEVICE-FDT	docs/CLI.md foreign device commands
docs/conformance/bacnet-135-2020.json	row:BACNET-J-FORWARDED-NPDU	README BACnet/IP feature
docs/conformance/bacnet-135-2020.json	row:BACNET-J-FORWARDED-NPDU	docs/CLI.md BBMD commands
docs/conformance/bacnet-135-2020.json	row:BACNET-J-ORIGINAL-BROADCAST-NPDU	README BACnet/IP feature
docs/conformance/bacnet-135-2020.json	row:BACNET-J-ORIGINAL-UNICAST-NPDU	README BACnet/IP feature
docs/conformance/bacnet-135-2020.json	row:BACNET-U-IPV6-BVLL	README transports table: BACnet/IPv6
docs/conformance/bacnet-135-2020.json	row:BACNET-U-IPV6-BVLL	docs/python-api.md BACnet/IPv6
docs/conformance/support-summary.md	line:1	# BACnet Standard 135-2020 Support Summary
docs/conformance/support-summary.md	line:100	| `BACNET-13-ACKED-TRANSITIONS-NETWORK-OWNERSHIP` | Clause 12.1.2; Acked_Transitions property paragraphs and Tables 12-2 (Analog Input), 12-3 (Analog Output), 12-4 (Analog Value), 12-6 (Binary Input), 12-8 (Binary Output), 12-10 (Binary Value), 12-14 (Event Enrollment), 12-21 (Multi-state Input), 12-22 (Multi-state Output), 12-23 (Multi-state Value), and 12-61 (Alert Enrollment); Clauses 13.2.3, 13.2.5, and 13.5; Clauses 15.9 and 15.10; Annex K Table K-17 footnote 1 | P1 | supported-with-clause-evidence | 0 |
docs/conformance/support-summary.md	line:101	| `BACNET-13-EVENT-ENROLLMENT-NOTIFICATION-LIFECYCLE` | Event Enrollment object and event-reporting lifecycle requirements for configured event type, transition enablement, Notification Class policy, committed acknowledgment/timestamp/message history, same-state indication, distribution gating, and committed notification fields | P1 | implementation-present-needs-conformance-tests | 0 |
docs/conformance/support-summary.md	line:102	| `BACNET-13-LIFE-SAFETY-OPERATION` | Clauses 13.13-13.15; Tables 13-1 and 13-1a; Clauses 12.15 and 12.16 Present_Value, Status_Flags, Tracking_Value, Silenced, and Operation_Expected properties; Clause 18 errors | P0 | implementation-present-needs-conformance-tests | 1 |
docs/conformance/support-summary.md	line:103	| `BACNET-14-FILE-ACCESS-METHOD` | Clause 12.13 (Table 12-16 File_Access_Method), Clauses 14.1 and 14.2 (Incorrect File access method), Clauses 14.1.4.1 and 14.2.4.1 (non-File Object Identifier), Clause 14.2.4.1 (Write to a read-only File), Clause 18 (INVALID_FILE_ACCESS_METHOD, FILE_ACCESS_DENIED, and INCONSISTENT_OBJECT_TYPE), Clause 21 (BACnetFileAccessMethod production; AtomicReadFile/AtomicWriteFile access-method CHOICE) | P1 | supported-with-clause-evidence | 0 |
docs/conformance/support-summary.md	line:104	| `BACNET-14-FILE-STORAGE` | Clause 12.13 / Table 12-16 and footnotes 1-2 (File object property model; File_Size stream-only conditional writability; Record_Count record-only presence and conditional writability; truncate, clear, local-matter expansion fill; Modification_Date events and Archive reset), Clause 14.1 (AtomicReadFile parameters, End Of File, Service Procedure), Clause 14.2 (AtomicWriteFile parameters, -1 append, Service Procedure, Result(+) position), Clauses 14.1.4.1 and 14.2.4.1 (INVALID_FILE_START_POSITION), Clause 14.2.4.1 (FILE_FULL), Clause 18 (INVALID_FILE_START_POSITION, FILE_FULL, FILE_ACCESS_DENIED), Clause 19.1.3.3 (restore context writes File_Size=0 before rewriting a differently-sized stream configuration file), Clause 21 (Date, Time, and BACnetDateTime), Annex F (AtomicWriteFile append example) | P1 | supported-with-clause-evidence | 0 |
docs/conformance/support-summary.md	line:108	Rows not marked `supported-with-clause-evidence` are the initial follow-up backlog. Later PRs should split broad family rows into smaller clause-backed rows before strengthening public support claims.
docs/conformance/support-summary.md	line:20	| Status | implementation-present-needs-conformance-tests | 14 |
docs/conformance/support-summary.md	line:29	| Status | supported-with-clause-evidence | 19 |
docs/conformance/support-summary.md	line:3	> DRAFT internal support evidence. Generated from `docs/conformance/bacnet-135-2020.json`; this is not a BTL certification claim or formal PICS/BIBB declaration.
docs/conformance/support-summary.md	line:41	| `BACNET-5-ROUTED-PATH-LIMIT` | Clauses 5.2.1.2, 6.4.4, and 19.4 | P1 | implementation-present-needs-conformance-tests | 1 |
docs/conformance/support-summary.md	line:43	| `BACNET-6-ROUTER-MESSAGES` | Clauses 6.4-6.6 | P1 | implementation-present-needs-conformance-tests | 1 |
docs/conformance/support-summary.md	line:49	| `BACNET-12-OBJECT-MODEL` | Clauses 12-19 | P1 | implementation-present-needs-conformance-tests | 3 |
docs/conformance/support-summary.md	line:54	| `BACNET-12-ESCALATOR-STATUS-WRITABILITY` | Clause 12 general property conformance rules; Clause 12.60 Table 12-78 and Out_Of_Service; Clause 15.9.1.3; Clause 21 BACnetEscalatorMode, BACnetEscalatorOperationDirection, and BACnetEscalatorFault; Clause 23.1 | P1 | supported-with-clause-evidence | 0 |
docs/conformance/support-summary.md	line:55	| `BACNET-12-DEVICE-MAX-SEGMENTS` | Clause 12.11, Table 12-13 | P1 | implementation-present-needs-conformance-tests | 0 |
