source	kind	value
benchmarks/Cargo.toml	feature	bacnet-benchmarks::console=[console-subscriber]
crates/bacnet-cli/Cargo.toml	feature	bacnet-cli::default=[]
crates/bacnet-cli/Cargo.toml	feature	bacnet-cli::pcap=[dep:pcap,dep:ctrlc,dep:libc]
crates/bacnet-cli/Cargo.toml	feature	bacnet-cli::sc-tls=[bacnet-client/sc-tls,bacnet-transport/sc-tls,tokio-rustls,rustls,rustls-pki-types]
crates/bacnet-client/Cargo.toml	feature	bacnet-client::ipv6=[bacnet-transport/ipv6]
crates/bacnet-client/Cargo.toml	feature	bacnet-client::sc-tls=[bacnet-transport/sc-tls,tokio-rustls]
crates/bacnet-server/Cargo.toml	feature	bacnet-server::sc-tls=[bacnet-transport/sc-tls,tokio-rustls]
crates/bacnet-transport/Cargo.toml	feature	bacnet-transport::default=[]
crates/bacnet-transport/Cargo.toml	feature	bacnet-transport::ethernet=[]
crates/bacnet-transport/Cargo.toml	feature	bacnet-transport::ipv6=[]
crates/bacnet-transport/Cargo.toml	feature	bacnet-transport::sc-tls=[tokio-tungstenite,tokio-rustls,rustls,futures-util]
crates/bacnet-transport/Cargo.toml	feature	bacnet-transport::serial-gpio=[serial,gpiocdev]
crates/bacnet-transport/Cargo.toml	feature	bacnet-transport::serial=[tokio-serial,tokio/io-util]
crates/bacnet-types/Cargo.toml	feature	bacnet-types::default=[std]
crates/bacnet-types/Cargo.toml	feature	bacnet-types::serde=[dep:serde,serde/alloc]
crates/bacnet-types/Cargo.toml	feature	bacnet-types::std=[]
workspace	default-member	benchmarks
workspace	default-member	crates/bacnet-client
workspace	default-member	crates/bacnet-encoding
workspace	default-member	crates/bacnet-endpoint-core
workspace	default-member	crates/bacnet-integration-tests
workspace	default-member	crates/bacnet-network
workspace	default-member	crates/bacnet-objects
workspace	default-member	crates/bacnet-server
workspace	default-member	crates/bacnet-services
workspace	default-member	crates/bacnet-transport
workspace	default-member	crates/bacnet-types
workspace	member	benchmarks
workspace	member	crates/bacnet-cli
workspace	member	crates/bacnet-client
workspace	member	crates/bacnet-encoding
workspace	member	crates/bacnet-endpoint-core
workspace	member	crates/bacnet-integration-tests
workspace	member	crates/bacnet-network
workspace	member	crates/bacnet-objects
workspace	member	crates/bacnet-server
workspace	member	crates/bacnet-services
workspace	member	crates/bacnet-transport
workspace	member	crates/bacnet-types
workspace	member	crates/rusty-bacnet
